block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,29032347,left,1,NA,NA,1.377
practice,right_fish.jpg,null,right,29032347,right,1,NA,NA,0.831
practice,bowl.jpg,null,,29032347,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,29032347,right,1,NA,NA,0.981
practice,bowl.jpg,null,,29032347,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,29032347,left,1,NA,NA,1.283
practice,con_left_practice.jpg,congruent,left,29032347,left,1,NA,NA,1.646
practice,in_left_practice.jpg,incongruent,left,29032347,right,0,1,ci,1.412
practice,con_right_practice.jpg,congruent,right,29032347,right,1,1,ic,2.064
practice,nogo_right_practice.jpg,nogo,right,29032347,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,29032347,right,1,1,xi,2.181
practice,nogo_left_practice.jpg,nogo,left,29032347,NA,1,1,ix,-1
